2022-06-30 13:06:74 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (293346b11fb2ededad191ac8f1d47e1b)] -> xpath: //div[@id='error']]
2022-06-30 16:06:519 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 16:06:742 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (f3ab4a246d0a06af8d05e4a5097823ab)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 16:06:861 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (f3ab4a246d0a06af8d05e4a5097823ab)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 16:06:525 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (f3ab4a246d0a06af8d05e4a5097823ab)] -> xpath: //input[@id='login_inp']]
2022-06-30 16:06:598 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (f3ab4a246d0a06af8d05e4a5097823ab)] -> xpath: //input[@type='password']]
2022-06-30 16:06:718 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (f3ab4a246d0a06af8d05e4a5097823ab)] -> xpath: //button[contains(text(),'Login')]]
2022-06-30 16:06:240 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (f3ab4a246d0a06af8d05e4a5097823ab)] -> xpath: //div[@id='error']]
2022-06-30 16:06:183 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 16:06:958 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 16:06:857 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (ad3415712091345b0bed3c8d323733d7)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 16:06:966 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (ad3415712091345b0bed3c8d323733d7)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 16:06:723 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (ad3415712091345b0bed3c8d323733d7)] -> xpath: //input[@id='login_inp']]
2022-06-30 16:06:818 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (ad3415712091345b0bed3c8d323733d7)] -> xpath: //input[@type='password']]
2022-06-30 16:06:903 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (ad3415712091345b0bed3c8d323733d7)] -> xpath: //button[contains(text(),'Login')]]
2022-06-30 16:06:442 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (ad3415712091345b0bed3c8d323733d7)] -> xpath: //div[@id='error']]
2022-07-05 11:07:381 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-05 11:07:520 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (9d0a776d39841bc8807123a86b53f78b)] -> xpath: //button[@id='ccc-notify-accept']]
2022-07-05 11:07:685 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (9d0a776d39841bc8807123a86b53f78b)] -> xpath: //a[contains(text(),'Login')]]
2022-07-05 11:07:148 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (9d0a776d39841bc8807123a86b53f78b)] -> xpath: //input[@id='login_inp']]
2022-07-05 11:07:209 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (9d0a776d39841bc8807123a86b53f78b)] -> xpath: //input[@type='password']]
2022-07-05 11:07:273 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (9d0a776d39841bc8807123a86b53f78b)] -> xpath: //button[contains(text(),'Login')]]
2022-07-05 11:07:781 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (9d0a776d39841bc8807123a86b53f78b)] -> xpath: //div[@id='error']]
2022-07-14 10:07:225 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-14 10:07:544 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (3aa3634dc5aa1378128acd7ac330d9a5)] -> xpath: //button[@id='ccc-notify-accept']]
2022-07-14 10:07:620 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (3aa3634dc5aa1378128acd7ac330d9a5)] -> xpath: //a[contains(text(),'Login')]]
2022-07-14 10:07:66 INFO  LoginPage :63 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (3aa3634dc5aa1378128acd7ac330d9a5)] -> xpath: //input[@id='login_inp']]
2022-07-14 10:07:125 INFO  LoginPage :51 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (3aa3634dc5aa1378128acd7ac330d9a5)] -> xpath: //input[@type='password']]
2022-07-14 10:07:180 INFO  LoginPage :46 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (3aa3634dc5aa1378128acd7ac330d9a5)] -> xpath: //button[contains(text(),'Login')]]
2022-07-14 10:07:660 INFO  LoginPage :40 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (3aa3634dc5aa1378128acd7ac330d9a5)] -> xpath: //div[@id='error']]
2022-07-14 10:07:08 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-14 10:07:279 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (ca5a252b11f5a296921083f623412e45)] -> xpath: //button[@id='ccc-notify-accept']]
2022-07-14 10:07:361 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (ca5a252b11f5a296921083f623412e45)] -> xpath: //a[contains(text(),'Login')]]
2022-07-14 10:07:816 INFO  LoginPage :63 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (ca5a252b11f5a296921083f623412e45)] -> xpath: //input[@id='login_inp']]
2022-07-14 10:07:881 INFO  LoginPage :51 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (ca5a252b11f5a296921083f623412e45)] -> xpath: //input[@type='password']]
2022-07-14 10:07:939 INFO  LoginPage :46 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (ca5a252b11f5a296921083f623412e45)] -> xpath: //button[contains(text(),'Login')]]
2022-07-14 10:07:406 INFO  LoginPage :40 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (ca5a252b11f5a296921083f623412e45)] -> xpath: //div[@id='error']]
2022-07-27 11:07:916 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-27 11:07:599 INFO  HomePage :36 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (eb318d1732497b09ff918f50eb1edc7f)] -> xpath: //button[@id='ccc-notify-accept']]
2022-07-27 11:07:664 INFO  HomePage :30 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (eb318d1732497b09ff918f50eb1edc7f)] -> xpath: //a[contains(text(),'Login')]]
